ns_s,ns_p,p,ns_o,asset_type_s,asset_type_p,asset_type_o,count
country,dct,dct:type,membership-clas,at,ontology,at,399
currency,geosparql,geosparql:sfWithin,country,at,ontology,at,377
cob,dct,dct:replaces,cob,at,ontology,at,330
cob,dct,dct:isReplacedBy,cob,at,ontology,at,330
country,org,org:role,ns9,at,ontology,unknown,313
country,rdf,rdf:type,org,at,language,ontology,313
country,org,org:organization,cob,at,ontology,at,313
country,org,org:member,country,at,ontology,at,313
country,org,org:hasMembership,country,at,ontology,at,313
cob,skos,skos:exactMatch,ns10,at,ontology,unknown,295
country,geosparql,geosparql:sfWithin,ns11,at,ontology,unknown,290
currency,rdf,rdf:type,skos,at,language,ontology,289
currency,skos,skos:topConceptOf,at-base,at,ontology,at,289
currency,skos,skos:inScheme,at-base,at,ontology,at,289
country,skos,skos:inScheme,at-base,at,ontology,at,284
country,rdf,rdf:type,skos,at,language,ontology,284
currency,euvoc,euvoc:xlDefinition,currency,at,ontology,at,280
cob,skos,skos:topConceptOf,at-base,at,ontology,at,261
place,org,org:role,ns12,at,ontology,unknown,232
country,skos,skos:topConceptOf,at-base,at,ontology,at,232
membership-clas,euvoc,euvoc:status,ns1,at,ontology,unknown,202
membership-clas,rdf,rdf:type,skoxl,at,language,language,194
membership-clas,dct,dct:type,ns2,at,ontology,unknown,194
membership-clas,skoxl,skoxl:prefLabel,membership-clas,at,language,at,192
language,skos,skos:exactMatch,ns13,at,ontology,unknown,185
site,euvoc,euvoc:managedBy,cob,at,ontology,at,181
cob-clas,lexvo,lexvo:script,ns6,at,ontolofy,unknown,178
cob,lexinfo,lexinfo:gender,ns3,at,ontology,unknown,104
site,skoxl,skoxl:altLabel,site,at,language,at,103
country,euvoc,euvoc:xlHistoryNote,country,at,ontology,at,96
cob-clas,rdf,rdf:type,euvoc,at,language,ontology,93
currency,dct,dct:replaces,currency,at,ontology,at,92
currency,dct,dct:isReplacedBy,currency,at,ontology,at,92
cob,euvoc,euvoc:xlHistoryNote,cob,at,ontology,at,83
cob,vcard,vcard:hasValue,ns8,at,ontology,unknown,83
cob,dct,dct:type,ns7,at,ontology,unknown,83
language,euvoc,euvoc:xlHistoryNote,language,at,ontology,at,78
currency,euvoc,euvoc:xlHistoryNote,currency,at,ontology,at,70
cob,euvoc,euvoc:legallyBasedOnTreaty,ns14,at,ontology,unknown,55
country,skos,skos:broader,country,at,ontology,at,52
cob-clas,lemon,lemon:context,ns4,at,lexicon model,unknown,48
cob-clas,rdf,rdf:type,skos,at,language,ontology,46
cob-clas,skos,skos:inScheme,at-base,at,ontology,at,46
cob-clas,skos,skos:narrower,cob-clas,at,ontology,at,44
cob-clas,skos,skos:broader,cob-clas,at,ontology,at,44
country,euvoc,euvoc:legallyBasedOnTreaty,ns14,at,ontology,unknown,37
country,dct,dct:isReplacedBy,country,at,ontology,at,34
country,dct,dct:replaces,country,at,ontology,at,34
cob-clas,euvoc,euvoc:xlDefinition,cob-clas,at,ontology,at,33
place,euvoc,euvoc:xlHistoryNote,place,at,ontology,at,31
place,euvoc,euvoc:xlChangeNote,place,at,ontology,at,29
membership-clas,rdf,rdf:type,euvoc,at,language,ontology,15
cob-clas,euvoc,euvoc:xlNotation,cob-clas,at,ontology,at,14
cob-clas,dct,dct:type,notation-type,at,ontology,at,14
cob-clas,at-ont,at-ont:op-mapped-code,cob-clas,at,ontology,at,13
cob-clas,rdf,rdf:type,at-ont,at,language,ontology,13
membership-clas,lexvo,lexvo:script,ns6,at,ontolofy,unknown,12
country,lexinfo,lexinfo:number,ns5,at,ontology,unknown,10
site,euvoc,euvoc:xlHistoryNote,site,at,ontology,at,10
site,dct,dct:isReplacedBy,site,at,ontology,at,9
site,dct,dct:replaces,site,at,ontology,at,9
membership-clas,skos,skos:topConceptOf,at-base,at,ontology,at,8
at-base,rdf,rdf:type,skos,at,language,ontology,8
at-base,owl,owl:imports,ns15,at,language,unknown,8
membership-clas,rdf,rdf:type,skos,at,language,ontology,8
at-base,rdf,rdf:type,owl,at,language,language,8
membership-clas,skos,skos:inScheme,at-base,at,ontology,at,8
membership-clas,euvoc,euvoc:xlDefinition,membership-clas,at,ontology,at,7
place,dct,dct:isReplacedBy,place,at,ontology,at,5
place,dct,dct:replaces,place,at,ontology,at,5
at-base,dct,dct:type,ns2,at,ontology,unknown,4
membership-clas,skos,skos:exactMatch,cob,at,ontology,at,4
at-base,skoxl,skoxl:prefLabel,at-base,at,language,at,4
at-base,rdf,rdf:type,skoxl,at,language,language,4
at-base,euvoc,euvoc:status,ns1,at,ontology,unknown,4
country,euvoc,euvoc:xlDefinition,country,at,ontology,at,3
cob-clas,skos,skos:topConceptOf,at-base,at,ontology,at,2
membership-clas,lexinfo,lexinfo:gender,ns3,at,ontology,unknown,2
at-base,owl,owl:versionIRI,cob-clas,at,language,at,1
place,dct,dct:type,ns16,at,ontology,unknown,1
language,dct,dct:isReplacedBy,language,at,ontology,at,1
at-base,owl,owl:versionIRI,site,at,language,at,1
at-base,skoxl,skoxl:prefLabel,place,at,language,at,1
at-base,skoxl,skoxl:prefLabel,currency,at,language,at,1
at-base,owl,owl:versionIRI,language,at,language,at,1
membership-clas,skoxl,skoxl:altLabel,membership-clas,at,language,at,1
at-base,skoxl,skoxl:prefLabel,membership-clas,at,language,at,1
at-base,skoxl,skoxl:prefLabel,cob-clas,at,language,at,1
at-base,owl,owl:versionIRI,country,at,language,at,1
at-base,owl,owl:versionIRI,cob,at,language,at,1
at-base,owl,owl:versionIRI,place,at,language,at,1
at-base,owl,owl:versionIRI,currency,at,language,at,1
at-base,owl,owl:versionIRI,membership-clas,at,language,at,1
