Class,Property,Corporate Body Classification,Corporate Body,Country,Currencies,Languages,Membership,Places,Sites
http://publications.europa.eu/ontology/authority/MappedCode,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
http://publications.europa.eu/ontology/authority/MappedCode,http://publications.europa.eu/ontology/authority/legacy-code,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
http://publications.europa.eu/ontology/authority/MappedCode,http://purl.org/dc/elements/1.1/source,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://purl.org/dc/terms/dateSubmitted,0.956522,0.0,0.0,0.0,0.0,0.0,0.0,0.0
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://www.w3.org/2004/02/skos/core#topConceptOf,0.043478,0.0,0.0,0.0,0.0,0.0,0.0,0.0
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://publications.europa.eu/ontology/euvoc#startDate,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://lemon-model.net/lemon#context,1.043478,0.0,0.0,0.0,0.0,0.0,0.0,0.0
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://publications.europa.eu/ontology/euvoc#xlNotation,0.304348,0.0,0.0,0.0,0.0,0.0,0.0,0.0
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://purl.org/dc/elements/1.1/identifier,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://www.w3.org/2004/02/skos/core#narrower,0.956522,0.0,0.0,0.0,0.0,0.0,0.0,0.0
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://www.w3.org/2002/07/owl#versionInfo,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://purl.org/dc/terms/dateAccepted,0.956522,0.0,0.0,0.0,0.0,0.0,0.0,0.0
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://publications.europa.eu/ontology/authority/start.use,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://www.w3.org/2004/02/skos/core#altLabel,25.3913,0.0,0.0,0.0,0.0,0.0,0.0,0.0
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://purl.org/dc/terms/modified,0.173913,0.0,0.0,0.0,0.0,0.0,0.0,0.0
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://www.w3.org/2008/05/skos-xl#altLabel,25.43478,0.0,0.0,0.0,0.0,0.0,0.0,0.0
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://publications.europa.eu/ontology/authority/op-mapped-code,0.282609,0.0,0.0,0.0,0.0,0.0,0.0,0.0
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://publications.europa.eu/ontology/authority/authority-code,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://www.w3.org/2004/02/skos/core#inScheme,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://publications.europa.eu/ontology/euvoc#status,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://www.w3.org/2004/02/skos/core#prefLabel,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
